Subject: the stock trading gunslinger  fanny is merrill but muzo not colza attainder and penultimate like esmark perspicuous ramble is segovia not group try slung kansas tanzania yes chameleon or continuant clothesman no  libretto is chesapeake but tight not waterway herald and hawthorn like chisel morristown superior is deoxyribonucleic not clockwork try hall incredible mcdougall yes hepburn or einsteinian earmark no  sapling is boar but duane not plain palfrey and inflexible like huzzah pepperoni bedtime is nameable not attire try edt chronography optima yes pirogue or diffusion albeit no,Spam Email,1
Subject: unbelievable new homes made easy  im wanting to show you this  homeowner  you have been pre - approved for a $ 454   169 home loan at a 3 . 72 fixed rate .  this offer is being extended to you unconditionally and your credit is in no way a factor .  to take advantage of this limited time opportunity  all we ask is that you visit our website and complete  the 1 minute post approval form  look foward to hearing from you    dorcas pittman,Spam Email,1
Subject: 4 color printing special  request additional information now ! click here  click here for a printable version of our order form ( pdf format )  phone : ( 626 ) 338 - 8090 fax : ( 626 ) 338 - 8102 e - mail : ramsey @ goldengraphix . com  request additional information now ! click here  click here for a printable version of our order form ( pdf format )  golden graphix & printing 5110 azusa canyon rd . irwindale   ca 91706 this e - mail message is an advertisement and / or solicitation . ,Spam Email,1
Subject: do not have money   get software cds from here !  software compatibility . . . . ain ' t it great ?  grow old along with me the best is yet to be .  all tradgedies are finish ' d by death . all comedies are ended by marriage .,Spam Email,1
Subject: great nnews  hello   welcome to medzonline sh groundsel op  we are pleased to introduce ourselves as one of the ieading online phar felicitation maceuticai shops .  helter v  shakedown r  a cosmopolitan l  l blister l  l bestow ag  ac tosher l  is coadjutor va  confidant um  andmanyother .  - sav inexpiable e over 75 %  - total confide leisure ntiaiity  - worldwide s polite hlpplng  - ov allusion er 5 miilion customers in 150 countries  have devitalize a nice day !,Spam Email,1
"Subject: here ' s a hot play in motion  homeland security investments  the terror attacks on the united states on september 11   20 ol have  changed  the security landscape for the foreseeable future . both physical and  | ogica |  security have become paramount for all industry segments   especia | | y in  the  banking   nationa | resource and government sectors . according to giga    a  who | | y owned subsidiary of forrester research   woridwide demand for  information security products and services is set to eclipse $ 46 b by  2005 .  homeiand security investments is a newsietter dedicated to providing  our  readers with information pertaining to investment opportunities in this  lucrative sector . as we know   events related to homeland security  happen  with lightning speed . what we as investors can do is position  ourselves in  such a way as to take advantage of the current trends and be ready to  capitalize on events which have yet to happen . homeland security  investments is here to heip our readers do just that .  with this in mind   it is with great excitement that we present vinoble    inc .  this stock is expected to do big things in both the near and | ong  terms .  symbol : vnbl . ob  current price : o . 08  short term target price : o . 35  12 month target price : 1 . 20  * * * why we believe vnbl . ob will give big returns on investment * * *  * at this time much of vnbl ' s focus is on rfid ( radio frequency  identification ) technoiogy . this is technology which uses tiny sensors  to  transmit information about a person or object wireiessly .  * vnbl is aiready an industry pioneer in the rfid personal location  technoiogy .  * vnbl is developing a form of rfid technology which allows companies  and  governments to wirelessly track their assets and resources . such  technoiogy  has huge potentia | in the protection and transportation of materiais  designated "" high risk "" were they to fa | | into the wrong hands .  * vnbl works on integration of the two afore mentioned systems in order  to  create "" high security space "" in | ocaies where it is deemed necessary .  locations which may take advantage of such systems are airports   sea  ports    mines   nuciear faciiities   and more .  * as with a | | stocks   news drives the short term price . fresh news has  made vnbl a hot buy .  news on vnbl  malibu   calif . - - ( business wire ) - - june 16   2 oo 5 - - vinoble   inc .  ( otcbb : vnbl -  news )   a holding company seeking to identify | ong - term growth  opportunities  in the areas of homeland security   security information systems   and  other  security services   announced today that it pians to offer products and  services that wiil assist in the automation of the identification and  control of equipment   assets   toois   and the related processes used in  the  oi | & gas and petrochemical industries .  although smail wireiessly networked rfid sensors can monitor machines  and  equipment to detect possible problems before they become serious   they  can  aiso deiiver safety features within oi | welis . oi | maybe trapped in  different | ayers of rock   aiong with gas and water . detection of  specific  | iquids can assist equipment in operating within a specific precise  opportune moment to ensure certain adverse conditions do not occur    such as  a well filiing with water .  as with other rf based technoiogy applications   rfid can also provide  the  safe transit of materiais by only the authorized handler   and limit the  entry of personne | to specific | ocations . ensuring personnel safety is  essential   should there be an emergency at a faciiity   rfid tags wouid  enabie the customer to track and evaiuate its empioyee ' s safety and / or  danger . this application technology requires product and hardware that  can  operate in harsh and potentia | | y hazardous conditions   but gives  valuable  safety to the resources and assets that are vita | to the customer . rfid  can  aiso assist the customer ' s supply chain by tracking oi |   gas   and  chemica |  products from extraction to refining to the saie at the retai | | evel .  vinoble ' s viewpoint as previousiy stated is that these applications are  more  than just a vaiuable too | to the mining industry   but as a protective  measure of our country ' s natura | resources and commodities against  threat .  preservation of these fueis and resources is important to the safety of  u . s .  industry and economy .  the company believes that such offering service and technoiogy  appiication  in the oil & gas and petrochemical industry wil | further position  vinoble in  a rapidly expanding industry whiie taking advantage of access to the  increasing capital and gioba | spending that the company wi | | require  for  growth . the company ' s goal is to aiso provide a much - needed service at  a  cost manageable to even the sma | | est of businesses that can ' t afford to  do  without the safety of its personnel and assets in this current state of  constant threat .  this is outstanding news . the growth potential for this company is  exceptional . in an already hot industry   vnbl . ob stands out as a truiy  innovative pioneer . we see big things happening to this stock .  information within this emai | contains "" forward looking statements ""  within the meaning of section 27 a of the securities act of 1933 and  section 21 b of the securities exchange act of 1934 . any statements that  express or involve discussions with respect to predictions    expectations   beliefs   pians   projections   objectives   goals    assumptions or  future  events or performance are not statements of historica | fact and may be  "" forward | ooking statements . "" forward | ooking statements are based on  expectations   estimates and projections at the time the statements are  made that invoive a number of risks and uncertainties which couid cause  actua | results or events to differ materia | | y from those presently  anticipated . forward looking statements in this action may be  identified  through the use of words such as "" projects ""   "" foresee ""   "" expects ""    "" wi | |   "" "" anticipates   "" "" estimates   "" "" beiieves   "" "" understands "" or  that by  statements indicating certain actions "" may   "" "" couid   "" or "" might "" occur .  as with many micro - cap stocks   today ' s company has additional risk  factors worth noting . those factors inciude : a limited operating  history    the company advancing cash to reiated parties and a shareholder on an  unsecured basis : one vendor   a related party through a majority  stockhoider   supplies ninety - seven percent of the company ' s raw  materiais :  reiiance on two customers for over fifty percent of their business and  numerous related party transactions and the need to raise capital .  these  factors and others are more fuily speiled out in the company ' s sec  fiiings . we urge you to read the filings before you invest . the rocket  stock  report does not represent that the information contained in this  message states ail materia | facts or does not omit a material fact  necessary  to make the statements therein not misleading . ail information  provided within this emai | pertaining to investing   stocks   securities  must  be  understood as information provided and not investment advice . the  rocket stock report advises all readers and subscribers to seek advice  from  a registered professiona | securities representative before deciding to  trade in stocks featured within this email . none of the material within  this report shal | be construed as any kind of investment advice or  solicitation . many of these companies are on the verge of bankruptcy .  you  can lose ail your money by investing in this stock . the publisher of  the rocket stock report is not a registered investment advisor .  subscribers should not view information herein as | ega |   tax    accounting or  investment advice . any reference to past performance ( s ) of companies  are  speciaily seiected to be referenced based on the favorabie performance  of  these companies . you wouid need perfect timing to achieve the resuits  in the exampies given . there can be no assurance of that happening .  remember   as aiways   past performance is never indicative of future  results and a thorough due diiigence effort   including a review of a  company ' s filings   shouid be completed prior to investing . in  compiiance  with the securities act of 1933   section 17 ( b )   the rocket stock report  discioses the receipt of tweive thousand doilars from a third party  ( gem   inc . )   not an officer   director or affiliate sharehoider for  the  circuiation of this report . gem   inc . has a position in the stock  they  wil | se | | at any time without notice . be aware of an inherent confiict  of interest resuiting from such compensation due to the fact that this  is a paid advertisement and we are conflicted . al | factua | information  in this report was gathered from pubiic sources   inciuding but not  limited to company websites   sec fiiings and company press releases .  the  rocket stock report beiieves this information to be reliabie but can  make  no guarantee as to its accuracy or compieteness . use of the materia |  within this email constitutes your acceptance of these terms .",Spam Email,1
Subject: save your money buy getting this thing here  you have not tried cialls yet ?  than you cannot even imagine what it is like to be a real man in bed !  the thing is that a great errrectlon is provided for you exactiy when you want .  cialis has a lot of advantages over viagra  - the effect iasts 36 hours !  - you are ready to start within just 10 minutes !  - you can mix it with aicohol ! we ship to any country !  get it right now ! .,Spam Email,1
Subject: undeliverable : home based business for grownups  your message  subject : home based business for grownups  sent : sun   21 jan 2001 09 : 24 : 27 + 0100  did not reach the following recipient ( s ) :  75 @ tfi . kpn . com on mon   25 feb 2002 13 : 32 : 23 + 0100  the recipient name is not recognized  the mts - id of the original message is : c = us ; a = ; p = ptt  telecom ; l = mtpi 70590202251232 fjt 4 d 8 q 5  msexch : ims : kpn - telecom : i : mtpi 7059 0 ( 000 co 5 a 6 ) unknown recipient,Spam Email,1
Subject: save your money buy getting this thing here  you have not tried cialls yet ?  than you cannot even imagine what it is like to be a real man in bed !  the thing is that a great errrectlon is provided for you exactiy when you want .  cialis has a lot of advantages over viagra  - the effect lasts 36 hours !  - you are ready to start within just 10 minutes !  - you can mix it with aicohoi ! we ship to any country !  get it right now ! .,Spam Email,1
Subject: las vegas high rise boom  las vegas is fast becoming a major metropolitan city ! 60 +  new high rise towers are expected to be built on and around the las vegas strip  within the next 3 - 4 years   that ' s 30   000 + condominiums !  this boom has just begun ! buy first . . . early phase    pre - construction pricing is now available on las vegas high rises including  trump   cosmopolitan   mgm   turnberry   icon   sky   among others .  join the interest list :  http : / / www . verticallv . com  message has been sent to you by realty one highrise . learn more at www . verticallv . comif you  wish to be excluded from future mailings   please reply with the word remove in  the subject line . ,Spam Email,1
Subject: save your money buy getting this thing here  you have not tried cialls yet ?  than you cannot even imagine what it is like to be a real man in bed !  the thing is that a great errrectlon is provided for you exactly when you want .  ciaiis has a iot of advantaqes over viagra  - the effect iasts 36 hours !  - you are ready to start within just 10 minutes !  - you can mix it with aicohol ! we ship to any country !  get it riqht now ! .,Spam Email,1
Subject: brighten those teeth  get your  teeth bright white now !  have you considered professional teeth whitening ? if so   you  know it usually costs between $ 300 and $ 500 from your local  dentist !  visit our site to learn how to  professionally whiten your teeth   using the exact same whitening  system your dentist uses   at a fraction of the cost ! here ' s what you get :  we will show you what to look for in a whitening  system !  we will show you a comparison of all of the products  available today   including their costs !  we know our product is the best on the market   and we back  it with a 30 day money back guarantee !  click here to learn more !  you are receiving this email as an  internet affiliate network member . if you would no longer like to receive  special promotions  via email from internet affiliate network   then click  here to unsubscribe ,Spam Email,1
"Subject: wall street phenomenon reaps rewards  small - cap stock finder  new developments expected to move western sierra mining   inc . stock  from $ 0 . 70 to over $ 4 . 0 o  westernsierramining . com  western sierra mining is a company on the move   fast ! big news is out !  big business is afoot for wsrm !  read on to find out why wsrm is our top pick this week .  * western sierra mining has a very profitabie business mode | in which  they avoid the highest cost associate with mining : exploration .  essentially   wester sierra operates mines on sites that have been previousiy  expiored and found to be "" too small "" for the | argest mining companies    yet sti | | produce handsome profits .  * the gioba | mining industry boom wi | | continue for the foreseeabie  future due to the impact of china - driven demand on commodity prices and  | ong suppiy - response lead times .  * news ! news ! news ! read on to find out why we expect wsrm to take off  this week !  here is recent news on the company :  phoenix - - ( business wire ) - - june 15   2 oo 5 - - western sierra mining corp .  ( pink sheets : wsrm - news ) announced today that the board of directors  has approved and authorized a 2 - for - 1 forward split of its issued and  outstanding common s - tock to al | sharehoiders of record as of june 26    2005 .  the company stated that the reason for the spiit was to a | | ow  additional investors to participate in the long - term goals and objectives of  western .  phoenix - - ( business wire ) - - june 10   20 o 5 - - western sierra mining ( pink  sheets : wsrm - news ) and oretech inc . ( pink sheets : orte - news )  announced today that their respective boards of directors have agreed to enter  into an agreement to develop the silver plume and pittsburg mines  | ocated in coiorado .  commenting on the proposed transaction   the president of western sierra  mining   michael chaffee   said   "" the new aiignment with oretech wil |  aliow each of the companies to utilize their specific expertise to the  maximum benefit of the other . oretech is trying to focus on developing its  propriety extraction technoiogy and western is expanding its mining  activities in the u . s . we have started our due diligence on the property  and | ook forward to taking a proposal back to oretech by the end of the  month .  phoenix - - ( business wire ) - - june 3   2005 - - western sierra mining ( pink  sheets : wsrm - news ) announced today that it has signed a letter of intent  with asdi corp . providing wsrm the right to deveiop the asdi property  located in crescent vailey at battle mountain   nev .  we cannot stress enough the significance of this news . a s - tock spiit  can oniy mean one thing ; good business ! with the spiit date set at june  26   now is obviousiy the time to get in . with repsect to the other  news   that a sma | | company such as this would have the rights to these  rich properties speaks volumes for their management and near - future  earnings . that they wouid be so fortunate as to be invoived with an industry  pioneer such as oretech is nothing short of extraordinary .  these fortuitous events have earned wsrm our highly recommendation  symbol : ( wsrm )  current price : o . 70  short term target price : 4 . 6 o  12 month target price : 8 . 9 o  * * * news from the industry * * *  * mining s - tocks have outperformed both the s & p 500 and the dow jones  industrial average over the last three years .  * profits by mining companies have doubled for the second year in a  row . return on equity has increased nearly three - fold over the past two  years  * price waterhouse coopers calis for "" . . . another bumper year for the  global mining industry in 2 oo 5 . "" they go on to say   "" the sustained  upturn in commodity prices has caught investors ' attention   creating a dash  for mining s - tocks . add the unprecedented profits and free cash flows  and we have a very buoyant industry . ""  for more information read   mine - enter the dragon   by price waterhouse  coopers   located at pwcglobal . com  disclaimer :  information within this emai | contains "" forward looking statements ""  within the meaning of section 27 a of the securities act of 1933 and  section 21 b of the securities exchange act of 1934 . any statements that  express or involve discussions with respect to predictions    expectations   beliefs   pians   projections   objectives   goais    assumptions or future  events or performance are not statements of historical fact and may be  "" forward | ooking statements . "" forward looking statements are based on  expectations   estimates and projections at the time the statements are  made that involve a number of risks and uncertainties which couid cause  actual resuits or events to differ materialiy from those presently  anticipated . forward | ooking statements in this action may be  identified  through the use of words such as "" projects ""   "" foresee ""   "" expects ""    "" wiil   "" "" anticipates   "" "" estimates   "" "" believes   "" "" understands "" or  that by  statements indicating certain actions "" may   "" "" couid   "" or "" might "" occur .  as with many micro - cap s - tocks   today ' s company has additional risk  factors worth noting . those factors inciude : a | imited operating  history    the company advancing cash to related parties and a shareholder on an  unsecured basis : one vendor   a reiated party through a majority  s - tockhoider   suppiies ninety - seven percent of the company ' s raw  materials :  reiiance on two customers for over fifty percent of their business and  numerous reiated party transactions and the need to raise capital .  these  factors and others are more fully spelled out in the company ' s sec  fiiings . we urge you to read the filings before you invest . the rocket  stock  report does not represent that the information contained in this  message states ail materia | facts or does not omit a materia | fact  necessary  to make the statements therein not misieading . a | | information  provided within this email pertaining to investing   stocks   securities  must be  understood as information provided and not investment advice . the  rocket stock report advises all readers and subscribers to seek advice  from  a registered professional securities representative before deciding to  trade in stocks featured within this email . none of the material within  this report shail be construed as any kind of investment advice or  solicitation . many of these companies are on the verge of bankruptcy .  you  can | ose al | your mone * y by investing in this stock . the publisher of  the rocket stock report is not a registered investment advisor .  subscribers shouid not view information herein as | egal   tax    accounting or  investment advice . any reference to past performance ( s ) of companies  are  specialiy selected to be referenced based on the favorable performance  of  these companies . you wouid need perfect timing to achieve the resuits  in the exampies given . there can be no assurance of that happening .  remember   as aiways   past performance is never indicative of future  results and a thorough due diligence effort   inciuding a review of a  company ' s fiiings   shouid be completed prior to investing . in  compiiance  with the securities act of 1933   section 17 ( b )   the rocket stock report  discloses the receipt of twelve thousand doilars from a third party  ( gem   inc . )   not an officer   director or affiiiate sharehoider for  the  circulation of this report . gem   inc . has a position in the stoc * k  they  wi | | seil at any time without notice . be aware of an inherent confiict  of interest resuiting from such compensation due to the fact that this  is a paid advertisement and we are conflicted . ail factua | information  in this report was gathered from pubiic sources   including but not  | imited to company websites   sec fiiings and company press reieases .  the  rocket sto * ck report believes this information to be reiiable but can  make  no guarantee as to its accuracy or compieteness . use of the materia |  within this email constitutes your acceptance of these terms .",Spam Email,1
Subject: fpa notice : ebay misrepresentation of identity - user suspension - section 9 -  dear ebay member    in an effort to protect your ebay  account security   we have suspended your account until such time that it can  be safely restored to you . we have taken this action because your account  may have been compromised . although we cannot disclose our investigative  procedures that led to this conclusion   please know that we took this action  in order to maintain the safety of your account . for instructions on  getting your account reinstated   please click the button bellow :  thank you for your patience and  cooperation . regards    safeharbor departmentebay  inc . ,Spam Email,1
"Subject: search engine position  be the very first listing in the top search engines immediately .  our company will now place any business with a qualified website  permanently at the top of the major search engines guaranteed never to move  ( ex : yahoo !   msn   alta vista   etc . ) . this promotion includes unlimited  traffic and is not going to last long . if you are interested in being  guaranteed first position in the top search engines at a promotional fee    please contact us promptly to find out if you qualify via email at  searchl 1 @ telefonica . net . pe it ' s very important to include the url ( s ) if you  are interested in promoting ! ! ! this is not pay per click . examples will  be provided .  this promotion is only valid in the usa and canada .  sincerely    the search engine placement specialists  if you wish to be removed from this list   please respond to the following  email address and type the word "" remove "" in your subject line :  search 6 @ speedy . com . pe",Spam Email,1
Subject: only our software is guaranteed 100 % legal .  name - brand software at low   low   low   low prices  everything comes to him who hustles while he waits .  many would be cowards if they had courage enough .,Spam Email,1
Subject: localized software   all languages available .  hello   we would like to offer localized software versions ( qerman   french   spanish   uk   and many others ) .  all iisted software is availabie for immediate download !  no need to wait 2 - 3 week for cd deiivery !  just few exampies :  - norton lnternet security pro 2005 - $ 29 . 95  - windows xp professional with sp 2 fuil version - $ 59 . 95  - corei draw graphics suite 12 - $ 49 . 95  - dreamweaver mx 2004 ( homesite 5 . 5 including ) - $ 39 . 95  - macromedia studio mx 2004 - $ 119 . 95  just browse our site and find any software you need in your native ianguaqe !  best reqards    lauraiee ,Spam Email,1
Subject: 21 st century web specialists jrgbm  dear  it professionals    have a problem or idea you need a solution for ?  not sure what it will cost so that you can budget accordingly ?  provide the details and we will be pleased to send you a free  project scope quote that includes all the details you will need to  know and the variables to consider .  we would be glad to deliver cutting - edge solutions to your it challenges  at a quality that is equivalent or superior to that offered by domestic  companies   but at a fraction of the cost of domestic development .  we represent a number of well - established companies staffed with over  1000 qualified software developers with a record of successfully completing  hundreds of small and midsize projects and tens of wide - scale projects  for fortune 100 corporations .  from  business analysis and consulting to web design   from coding to testing  and porting we provide a full cycle of it services !  working  both on - site and offshore our specialists develop and integrate  internet / intranet / extranet  applications  business  applications  erp   crm  systems  e - business  ( b 2 b   b 2 c ) solutions  mobile  and wireless applications  desktop  applications  data warehouses  security  and cryptography systems  and  more . . .  our  quality is based on developed partnerships with leading it technology  providers   modern project and quality management and exclusive human resources !  for  more info . . . click  here ! ! !  please include your phone number    and we will be happy to call you !  cost  effective it solutions !  experienced teams of specialists !  fair rates !  free  quotes ! !  here  is a list of some of the technologies and platforms that our specialists  employ to bring you only the best   most efficient and cost - effective solution :  application  platforms  . :  . net  . : java 2 ee  . : ibm websphere suite  . : lotus domino  . : bea weblogic  . : coldfusion  operating  systems  . :  windows    . : unix  . : ibm  databases  . :  ms sql  . : oracle  . : db 2  . : foxpro  . : informix  . : sybase  it  standards  . :  activex   com  . : asp  . : corba  . : jdbc  . : odbc  . : wap   wml  for  more info . . . click  here ! ! !  please include your phone number    and we will be happy to call you !  if  you received this letter by mistake please click unsubscribe  uce transmissions can be stopped at no cost to the recipient by sending  a reply with the word ' remove ' in the subject line . ( ref .  u . s . senate bill 1618   title # 3   section 301 ) ,Spam Email,1
Subject: any med for your girl to be happy !  your girl is unsatisfied with your potency ? don ' t wait until she finds another men !  click here to choose from a great variety of llcensed love t @ bs ! best pri $ es   fast shippinq and guaranteed effect ! here you buy it riqht from warehouse !  the store is verified by bbb and approved by visa ! ,Spam Email,1
Subject: re : wearable electronics  hi my name is jason   i recently visited www . clothingplus . fi / and wanted to offer my services . we could help you with your wearable electronics website . we create websites that mean business for you ! here ' s the best part   after we recreate your site in the initial setup   we give you a user - friendly master control panel . you now have the ability to easily add or remove copy   text   pictures   products   prices   etc . when you want to ! i would be happy to contact you and brainstorm some ideas . regards - jasononline store creatorstoll free : 800 - 658 - 9978 ext : 206 http : / / www . . com,Spam Email,1
Subject: top - level logo and business identity  corporate image can say a lot of things about your  company . contemporary rhythm of life is too dynamic . sometimes it takes oniy  several seconds for  your company to be remembered or to be lost among competitors .  get your logo   business stationery or website done  riqht now !  fast turnaround : you wiil see severai ioqo variants  in three business days .  satisfaction quaranteed : we provide unlimited  amount of changes ; you can be sure : it wiil meet your needs and fit your  business .  fiexible discounts : iogo improvement   additional  formats   bulk orders   special packages .  creative design for  competitive price : have a look at it right now !,Spam Email,1
Subject: your trusted source for prescription medication .  best prescription generic meds 4 less .  anger is one of the sinners of the soul .  write what you like ; there is no other rule .  life ' s most urgent question is : what are you doing for others ?  gold for friends   lead for foes .,Spam Email,1
Subject: rely on us for your online prescription ordering .  your in - home source of health information  a conclusion is the place where you got tired of thinking .  a man paints with his brains and not with his hands .  a poet more than thirty years old is simply an overgrown child .  one should always play fairly when one has the winning cards .,Spam Email,1
"Subject: guzzle like a fountain  spur m rocks   our customer speaks :  "" my girlfriend and me have been really enjoying making  our own homemade erotic films . we get off on pretending  to be like porn stars even though it will only ever be  the two of us that see them . the one thing that was really  missing from our movies was the money shot and to be frank  i was lucky if my money shot was worth a dollar . i  ordered spur - m and now all of our home movies end in a  gigantic cum shot that would make even veteran porn  stars jealous . thanks spur - m for helping to spice up  our sex life ! ""  anthony   ky  "" spur - m really works . it has improved my sperm motility  and morphology to the point that my girlfriend is now pregnant .  this fertility blend really does help to improve male  fertility and sperm quality ! ""  adam j .   san francisco   usa  http : / / karla . chorally . com / spur / ? sheep  need not be disturbed ? go here  http : / / romano . chorally . com / rm . php",Spam Email,1
Subject: are you losing ? the answer would amaze you !  ? connecting your business to the world wide web ?  how  many shoppers are  you  losing ?  the  figure wouldamaze you !  how are youlosing them ?  they  cannot  findyour web  site !  a simple  equation  notbeing found = losing new customers !  we can change  that !  for only $ 119 . 97  we will submit your  website to over 360 major search engines around the world  ( see full list  on our web site . )  but  more than that  we will research the  best and most effective meta tags and keywords to use  on your web site so  that you will rise in the search enginelistings  so new  customers can find you !  don ' t lose any more customers !  let  us  professionally manage the submission of  your web site  and get  itfound and  seen on the  worlds search engines !  click onthis link  click  here !  to discover  thepower of  ? connecting  your business to the world wide web ?,Spam Email,1
Subject: hi  how to save o improper n your medlcatlons over 70 % .  pha oviform rmzmail shop - successfull and proven way to save y lansquenet our mon cribriform ey .  pothouse v  a excepting g  a iceblink l  l warmish u  bacchic l  nonary ra coruscate cl  i placatory s necrology val  perish m  andmanyother .  * best prl peeved ces  * worldwide sh potted lpplng  * total confidentiaii laughter ty  * over 5 miliion custom slicker ers  have a nice countermine day !,Spam Email,1
Subject: 25 mg did thhe trick  ho receivable w to save on your medlcatlons over 70 % .  pharmz ibidem mail shop - successfu panoramic ll and proven way to save your mone pelagian y .  incommodious v  a forsaken g  a poseur l  l foreshown u  inornate l  r proposer ac tangential l  banian is commissioned val  austerity m  andmanyother .  * best p rousing rlces  * panjandrum worldwide shlpplng  * total confident televisional iaiity  * over 5 miliion unbloody customers  ha bionics ve a nice day !,Spam Email,1
Subject: save your money buy getting this thing here  you have not tried cialls yet ?  than you cannot even imagine what it is like to be a real man in bed !  the thing is that a great errrectlon is provided for you exactiy when you want .  cialis has a lot of advantages over viagra  - the effect lasts 36 hours !  - you are ready to start within just 10 minutes !  - you can mix it with aicohol ! we ship to any country !  get it right now ! .,Spam Email,1
Subject: want to accept credit cards ? 126432211  aredit cpproved  no cecks  do it now  126432211,Spam Email,1
Subject: [ ilug ] seeking your partnership  dear partner to be    first   i must apologise to you for using this medium to communicate to you  about this project .  i am a highly placed official of government of nigeria and also a  founding member of the ruling party in power now   the peoples democratic  party ( pdp ) .  my committee - the niger delta development corporation ( nddc ) - which is in  charge of managing and supervising the disbursement of oil sales revenues  for the nigerian government . the revenues under our control runs into  several hundred of millions of dollars monthly . my self and  other colleagues in the nddc are currently in need of a foreign partner  with whose bank account we shall transfer the sum of forty nine million  five hundred thosand united states dollars ( $ 49 . 5 m ) . this fund accrued to us  as commission for oil sales contracts handled under our supervision .  the fund is presently waiting in the government account named cbn / fgn  independent revenue account number 400 - 939134 with j . p . morgan chase  bank   new york . you can do your independent verification of this . however    by virtue of our position as civil servants and members of the nddc   we  cannot acquire this funds in our name . this is because as top civil  servants   we are not allowed by law of the land to own or operate bank  accounts outside our country for now .  i have been delegated as a matter of trust by my colleagues    to look for an overseas partner in whose account we would  transfer the fund  hence the reason for this mail . we shall be transferring the money to your  account with your company as we shall present your company as a registered  foreign company in nigeria and you are been paid for a contract which you  executed for our country through the nddc and any other federal ministry  that we decide to use to siphon the funds through .  for your support and partnership   please reply me to negotiate your fees or  the percentage you wish to be paid when the funds arrive your bank account .  you must however note that this transaction   with  regards to our disposition to continue with you   is subject  to these terms . firstly   our conviction of your transparency .  secondly   that you treat this transaction with utmost secrecy  and confidentiality . finally and above all   that you will provide  an account that you have absolute control over .  the transaction   although discrete   is legitimate and there  is no risk or legal disadvantages either to ourselves or yourself now or  in the future as we have put in place perfect mchineries that will ensure  a hitch free transfer into your account upon acceptance .  the transfer will be effected to your account within ten - fourteen  ( 10 - 14 ) working days as soon as we reach an agreement and you furnish  me with a suitable bank account and company name and address with all  your contact numbers including fax number .  i am looking forward to doing business with you and do solicit  your confidentiality in this transaction   please mail your  response to me .  yours faithfully    anderson k . eseimoku  - -  irish linux users ' group : ilug @ linux . ie  http : / / www . linux . ie / mailman / listinfo / ilug for ( un ) subscription information .  list maintainer : listmaster @ linux . ie,Spam Email,1
Subject: [ ilug ] guaranteed to lose 10 - 12 lbs in 30 days 10 . 206  1 ) fight the risk of cancer !  2 ) slim down - guaranteed to lose 10 - 12 lbs in 30 days  3 ) get the child support you deserve - free legal advice  4 ) join the web ' s fastest growing singles community  5 ) start your private photo album online !  have a wonderful day    offer manager  prizemama  if you wish to leave this list please use the link below .  - -  irish linux users ' group : ilug @ linux . ie  http : / / www . linux . ie / mailman / listinfo / ilug for ( un ) subscription information .  list maintainer : listmaster @ linux . ie,Spam Email,1
Subject: re : just to her . . .  mdaemon has indentified your message as spam . it will not be delivered .  from : projecthoneypot @ projecthoneypot . org  to : s . denham @ capitalspreads . com  subject : * * * spam * * * score / req : 25 . 38 / 08 . 00 - just to her . . .  message - id :  yes   hits = 25 . 4 required = 8 . 0 tests = ab _ uri _ rbl   html _ 50 _ 60   html _ fontcolor _ red   html _ message   mime _ html _ only   spamcop _ uri _ rbl   ws _ uri _ rbl autolearn = no version = 2 . 64  * * * * * * * * * * * * * * * * * * * * * * * * *  * 0 . 1 html _ fontcolor _ red body : html font color is red * 0 . 2 html _ 50 _ 60 body : message is 50 % to 60 % html * 0 . 1 mime _ html _ only body : message only has text / html mime parts * 0 . 0 html _ message body : html included in message * 8 . 0 spamcop _ uri _ rbl uri ' s domain appears in spamcop database at sc . surbl . org * [ bjefladghikm . extra - m . info is blacklisted in uri ] [ rbl at multi . surbl . org ] * 9 . 0 ws _ uri _ rbl uri ' s domain appears in ws database at ws . surbl . org * [ bjefladghikm . extra - m . info is blacklisted in uri ] [ rbl at multi . surbl . org ] * 8 . 0 ab _ uri _ rbl uri ' s domain appears in ab . surbl . org * [ bjefladghikm . extra - m . info is blacklisted in uri ] [ rbl at multi . surbl . org ]  : message contains [ 1 ] file attachments,Spam Email,1
